split,model,site,origin,target_month,horizon,actual_m3,forecast_m3,scale_m3,model_details,horizon_bucket,interval_q,lower_m3,upper_m3,covered,interval_width_m3
final,ets,2183 Latokartanon peruskoulu,2017-12,2018-02,2,128.0,127.97948439811363,28.166666666666668,"{'specification': 'ETS(A,Ad,A)', 'sse': 50107.730167581874}",h2-3,2.952097419162971,44.82874042502327,211.130228371204,True,166.3014879461807
final,ets,2183 Latokartanon peruskoulu,2017-12,2018-03,3,183.0,195.42574451029859,28.166666666666668,"{'specification': 'ETS(A,Ad,A)', 'sse': 50107.730167581874}",h2-3,2.952097419162971,112.27500053720823,278.57648848338897,True,166.30148794618074
final,ets,2183 Latokartanon peruskoulu,2017-12,2018-04,4,151.0,180.05443605964982,28.166666666666668,"{'specification': 'ETS(A,Ad,A)', 'sse': 50107.730167581874}",h4-6,2.733442812786802,103.06246349948822,257.0464086198114,True,153.9839451203232
final,ets,2183 Latokartanon peruskoulu,2017-12,2018-05,5,159.0,156.61756221165516,28.166666666666668,"{'specification': 'ETS(A,Ad,A)', 'sse': 50107.730167581874}",h4-6,2.733442812786802,79.62558965149356,233.60953477181675,True,153.9839451203232
final,ets,2183 Latokartanon peruskoulu,2017-12,2018-06,6,29.0,14.23559895374578,28.166666666666668,"{'specification': 'ETS(A,Ad,A)', 'sse': 50107.730167581874}",h4-6,2.733442812786802,0.0,91.22757151390738,True,91.22757151390738
final,ets,2183 Latokartanon peruskoulu,2017-12,2018-07,7,10.0,0.0,28.166666666666668,"{'specification': 'ETS(A,Ad,A)', 'sse': 50107.730167581874}",h7-12,2.952097419162971,0.0,83.15074397309036,True,83.15074397309036
final,ets,2183 Latokartanon peruskoulu,2017-12,2018-08,8,149.0,105.37638332173574,28.166666666666668,"{'specification': 'ETS(A,Ad,A)', 'sse': 50107.730167581874}",h7-12,2.952097419162971,22.225639348645387,188.5271272948261,True,166.3014879461807
final,ets,2183 Latokartanon peruskoulu,2017-12,2018-09,9,177.0,170.2641927880988,28.166666666666668,"{'specification': 'ETS(A,Ad,A)', 'sse': 50107.730167581874}",h7-12,2.952097419162971,87.11344881500844,253.41493676118915,True,166.3014879461807
final,ets,2183 Latokartanon peruskoulu,2017-12,2018-10,10,143.0,168.81105404363336,28.166666666666668,"{'specification': 'ETS(A,Ad,A)', 'sse': 50107.730167581874}",h7-12,2.952097419162971,85.660310070543,251.96179801672372,True,166.3014879461807
final,ets,2183 Latokartanon peruskoulu,2017-12,2018-11,11,214.0,185.02810611932904,28.166666666666668,"{'specification': 'ETS(A,Ad,A)', 'sse': 50107.730167581874}",h7-12,2.952097419162971,101.87736214623868,268.1788500924194,True,166.3014879461807
final,ets,2183 Latokartanon peruskoulu,2017-12,2018-12,12,119.0,115.64919102677239,28.166666666666668,"{'specification': 'ETS(A,Ad,A)', 'sse': 50107.730167581874}",h7-12,2.952097419162971,32.49844705368203,198.79993499986273,True,166.3014879461807
final,ets,4022 Taivallahden peruskoulu,2017-12,2018-01,1,179.0,129.66767294286632,61.916666666666664,"{'specification': 'ETS(A,Ad,A)', 'sse': 234391.77699390257}",h1,1.9560832420395615,8.553518873250141,250.7818270124825,True,242.22830813923235
final,ets,4022 Taivallahden peruskoulu,2017-12,2018-02,2,146.0,141.06536954135254,61.916666666666664,"{'specification': 'ETS(A,Ad,A)', 'sse': 234391.77699390257}",h2-3,2.952097419162971,0.0,323.8494014111932,True,323.8494014111932
final,ets,4022 Taivallahden peruskoulu,2017-12,2018-03,3,199.0,211.8707708375699,61.916666666666664,"{'specification': 'ETS(A,Ad,A)', 'sse': 234391.77699390257}",h2-3,2.952097419162971,29.086738967729275,394.6548027074105,True,365.56806373968124
final,ets,4022 Taivallahden peruskoulu,2017-12,2018-04,4,256.0,205.17815641266517,61.916666666666664,"{'specification': 'ETS(A,Ad,A)', 'sse': 234391.77699390257}",h4-6,2.733442812786802,35.93248892094903,374.4238239043813,True,338.4913349834323
final,ets,4022 Taivallahden peruskoulu,2017-12,2018-05,5,191.0,176.11181269856107,61.916666666666664,"{'specification': 'ETS(A,Ad,A)', 'sse': 234391.77699390257}",h4-6,2.733442812786802,6.866145206844919,345.3574801902772,True,338.4913349834323
final,ets,4022 Taivallahden peruskoulu,2017-12,2018-06,6,70.0,77.72846130764125,61.916666666666664,"{'specification': 'ETS(A,Ad,A)', 'sse': 234391.77699390257}",h4-6,2.733442812786802,0.0,246.9741287993574,True,246.9741287993574
final,ets,4022 Taivallahden peruskoulu,2017-12,2018-07,7,73.0,100.62988179030127,61.916666666666664,"{'specification': 'ETS(A,Ad,A)', 'sse': 234391.77699390257}",h7-12,2.952097419162971,0.0,283.4139136601419,True,283.4139136601419
final,ets,4022 Taivallahden peruskoulu,2017-12,2018-08,8,155.0,148.55739216959634,61.916666666666664,"{'specification': 'ETS(A,Ad,A)', 'sse': 234391.77699390257}",h7-12,2.952097419162971,0.0,331.34142403943696,True,331.34142403943696
final,ets,4022 Taivallahden peruskoulu,2017-12,2018-09,9,188.0,206.19032415197563,61.916666666666664,"{'specification': 'ETS(A,Ad,A)', 'sse': 234391.77699390257}",h7-12,2.952097419162971,23.406292282135013,388.9743560218162,True,365.5680637396812
final,ets,4022 Taivallahden peruskoulu,2017-12,2018-10,10,172.0,188.90658554154527,61.916666666666664,"{'specification': 'ETS(A,Ad,A)', 'sse': 234391.77699390257}",h7-12,2.952097419162971,6.122553671704651,371.6906174113859,True,365.5680637396813
final,ets,4022 Taivallahden peruskoulu,2017-12,2018-11,11,265.0,199.10984457291272,61.916666666666664,"{'specification': 'ETS(A,Ad,A)', 'sse': 234391.77699390257}",h7-12,2.952097419162971,16.325812703072103,381.89387644275337,True,365.5680637396813
final,ets,4022 Taivallahden peruskoulu,2017-12,2018-12,12,169.0,148.67943761571124,61.916666666666664,"{'specification': 'ETS(A,Ad,A)', 'sse': 234391.77699390257}",h7-12,2.952097419162971,0.0,331.46346948555185,True,331.46346948555185
final,ets,4236 Itäkeskuksen peruskoulu,2017-12,2018-01,1,141.0,124.5402178017416,22.285714285714285,"{'specification': 'ETS(A,Ad,A)', 'sse': 42854.08851222695}",h1,1.9560832420395615,80.94750555057423,168.132930052909,True,87.18542450233475
final,ets,4236 Itäkeskuksen peruskoulu,2017-12,2018-02,2,92.0,108.18054920865765,22.285714285714285,"{'specification': 'ETS(A,Ad,A)', 'sse': 42854.08851222695}",h2-3,2.952097419162971,42.390949581597155,173.97014883571813,True,131.57919925412097
final,ets,4236 Itäkeskuksen peruskoulu,2017-12,2018-03,3,151.0,164.60898792627594,22.285714285714285,"{'specification': 'ETS(A,Ad,A)', 'sse': 42854.08851222695}",h2-3,2.952097419162971,98.81938829921545,230.39858755333643,True,131.57919925412097
final,ets,4236 Itäkeskuksen peruskoulu,2017-12,2018-04,4,164.0,149.64832428346972,22.285714285714285,"{'specification': 'ETS(A,Ad,A)', 'sse': 42854.08851222695}",h4-6,2.733442812786802,88.73159874136385,210.56504982557558,True,121.83345108421173
final,ets,4236 Itäkeskuksen peruskoulu,2017-12,2018-05,5,145.0,142.52007716897913,22.285714285714285,"{'specification': 'ETS(A,Ad,A)', 'sse': 42854.08851222695}",h4-6,2.733442812786802,81.60335162687326,203.436802711085,True,121.83345108421173
final,ets,4236 Itäkeskuksen peruskoulu,2017-12,2018-06,6,32.0,37.510266049360105,22.285714285714285,"{'specification': 'ETS(A,Ad,A)', 'sse': 42854.08851222695}",h4-6,2.733442812786802,0.0,98.42699159146598,True,98.42699159146598
